Stock Number,Stock Name
117334,Samvardhana Motherson International Ltd.
100550,Siemens Ltd.
117354,Havells India Ltd.
132343,TVS Motor Company Ltd.
111243,Cholamandalam Investment & Finance Co. Ltd.
132504,Navin Fluorine International Ltd.
132725,Solar Industries India Ltd.
132488,Divi's Laboratories Ltd.
100290,MRF Ltd.
100387,Shree Cement Ltd.
222055,Interglobe Aviation Ltd.
221790,Muthoot Finance Ltd.
132683,AIA Engineering Ltd.
218071,Max Healthcare Institute Ltd.
209967,Indus Towers Ltd.
289108,Delhivery Ltd.
132827,Page Industries Ltd.
132478,United Breweries Ltd.
100459,Procter & Gamble Hygiene and Health Care Ltd.
105533,Westlife Foodworld Ltd.
286335,AU Small Finance Bank Ltd.
223430,Vedant Fashions Ltd.
252306,Eternal Ltd.
294253,Brainbees Solutions Ltd.
132830,Astral Ltd.
217379,ICICI Lombard General Insurance Company Ltd.
209550,Varun Beverages Ltd.
130517,Relaxo Footwears Ltd.
317635,Vishal Mega Mart Ltd.
100530,Bosch Ltd.
218036,Numero Uno International Ltd.
100271,Max Financial Services Ltd.
100469,The Federal Bank Ltd.
132541,Coforge Limited
132814,Indian Bank
131642,Marico Ltd.
132720,Mahindra & Mahindra Financial Services Ltd.
254493,PB FINTECH LIMITED (Policy Bazaar)
100472,SKF India Ltd.
132805,Redington Ltd.
210072,Dixon Technologies (India) Ltd.
289108,Delhivery Limited
235355,Gland Pharma Ltd.
217400,Star Health and Allied Insurance Company Ltd
100403,Sundram Fasteners Ltd.
190003,Karur Vysya Bank Ltd.
209078,Nippon Life India Asset Management Limited
132714,KEC International Ltd.
109930,Supreme Industries Ltd.
295872,GUJARAT FLUOROCHEMICALS LIMITED
106395,Coromandel International Limited
200046,KNR Construction limited.
122113,Timken India Ltd.
131162,Emami Ltd.
132210,City Union Bank Ltd.
218071,Max Healthcare Institute Limited
100878,Ceat Ltd.
104973,Cholamandalam Financial Holdings Ltd.
117385,Symphony Ltd.
214179,Sona Blw Precision Forgings
120113,Vesuvius India Ltd.
272156,Greenlam Industries Ltd.
102986,Vardhman Textiles Ltd.
100101,Arvind Limited
132466,Oracle Financial Ser Software Ltd.
108989,Navneet Education Ltd.
217379,ICICI Lombard General Insurance Co
126797,Greenply Industries Ltd.
107717,Dhanuka Agritech Ltd.
295732,Greenpanel Industries Limited
200082,Mahindra Holidays & Resorts Ind Ltd.
132705,Jagran Prakashan Ltd.
132848,Delta Corp Ltd.
109966,VST Industries Ltd.
307332,PIRAMAL PHARMA LTD
303107,SAPPHIRE FOODS INDIA LIMITED
218763,Dr. Lal Path Labs Ltd
132175,Cyient Ltd.
100260,The Ramco Cements Ltd.
302988,Fsn Ecommerce Ventures Limited (Nykaa)
213838,Prestige Estates Projects Ltd.
132756,CIE Automotive India Ltd
216147,Nuvoco Vistas Corporation Ltd. (100% subsidiary of Nirma Ltd. & erstwhile Lafarge India Ltd.)
214437,Varroc Engineering Limited
100380,JK Lakshmi Cement Ltd
235506,Metropolis Healthcare Ltd.
296214,Restaurant Brands Asia Limited
296050,Indigo Paints Limited
100238,Whirlpool of India Ltd.
100294,NCC LTD.
100182,Hero Motocorp Ltd.
210258,ICICI Prudential Life Insurance Company Ltd.
132868,DLF Ltd.
208280,HDFC Asset Management Company Ltd.
132898,Power Grid Corporation Of India Ltd.
132321,Zydus Lifesciences Ltd.
132432,United Spirits Ltd.
100387,Shree Cements Ltd.
132477,Union Bank Of India
132134,Bank Of Baroda
219494,Hindustan Aeronautics Ltd.
208361,Hyundai Motor India Ltd.
100002,ABB India Ltd.
320028,SIEMENS ENERGY INDIA LTD
200091,Oil India Ltd.
100477,Ashok Leyland Ltd.
304102,Bharti Airtel Ltd. - Partly Paid Share
107815,Gillette India Ltd.
216156,LTIMindtree Ltd.
100335,Birla Corporation Ltd.
293862,Swiggy Ltd
209373,Syngene International Ltd.
208365,ICICI Securities Ltd.
100104,Hindustan Petroleum Corporation Ltd.
100112,State Bank Of India
123642,PI Industries Ltd.
